StatisticCrimeGroupCode,StatisticCrimeGroupName,StatisticCrimeTypeCode,StatisticCrimeTypeName,CrimeName,SensitivityFlag
100, עבירות בטחון,103, עבירות על חוקי חרום,מסירת תיאור/דוח כוזבים,
100, עבירות בטחון,103, עבירות על חוקי חרום,נזק לרכוש הצבא לפגיעה בבטחון,1
100, עבירות בטחון,103, עבירות על חוקי חרום,נזק זדוני לרכוש הצבא בעת מלחמה,1
100, עבירות בטחון,103, עבירות על חוקי חרום,צו בדבר הוראות בטחון-מינהלי,
100, עבירות בטחון,103, עבירות על חוקי חרום,יריות על רכב ישראלי 45 (1) מצו הוראות הבטחון 1970,
100, עבירות בטחון,104, הסתננות,הסתננות,
100, עבירות בטחון,104, הסתננות,יציאה שלא כדין לארצות ערב,
100, עבירות בטחון,104, הסתננות,הסתננות לאחר גרוש,
100, עבירות בטחון,104, הסתננות,הסתננות מזויינת,
100, עבירות בטחון,104, הסתננות,הסתננות וביצוע עבירות מסויימות,
100, עבירות בטחון,104, הסתננות,מתן מחסה למסתנן,1
100, עבירות בטחון,104, הסתננות,מסתנן המוציא רכוש מישראל,
100, עבירות בטחון,104, הסתננות,הוצאת רכוש מישראל עבור מסתנן,
100, עבירות בטחון,104, הסתננות,סחר עם מסתנן,1
100, עבירות בטחון,104, הסתננות,הסתננות,
100, עבירות בטחון,104, הסתננות,הסתננות מזויינת,
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת ידיעות רשמיות ע'י עובד ציבור,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת מסמך לשאינו מוסמך לקבלו,1
100, עבירות בטחון,105, מסירת סודות רשמיים,התרשלות בשמירת מסמך,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מכירת מסמכים או מדים,1
100, עבירות בטחון,105, מסירת סודות רשמיים,גילוי ידיעות,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת ידיעות בעלות ערך צבאי,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת ידיעה רשמית ע'י עובד ציבור,1
100, עבירות בטחון,105, מסירת סודות רשמיים,רשלנות בשמירת ידיעות רשמיות,1
100, עבירות בטחון,105, מסירת סודות רשמיים,החזקת ידיעה ללא סמכות כדין,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת ידיעה ע'י בעל חוזה,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מסירת מסמך בהפרת אמון,1
100, עבירות בטחון,105, מסירת סודות רשמיים,רשלנות בשמירת מסמך,1
100, עבירות בטחון,105, מסירת סודות רשמיים,מכירת מסמכים או מדים רשמיים,1
100, עבירות בטחון,105, מסירת סודות רשמיים,גילוי מידע חסוי ללא היתר,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,הכנת חומר נפץ לביצוע עבירה,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשיאת כלי יריה שלא כחוק,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אמונים צבאיים בלתי חוקיים,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נשיאת חומר נפץ שלא כחוק,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,פגיעה בדגל ישראל,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,אי מניעת בצוע עבירה,
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גרימת נזק לרכוש במלחמה תוך רשלנות,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,נזק לרכוש הכוחות המזויינים,1
100, עבירות בטחון,106, עבירות אחרות כלפי בטחון,גרימת נזק לרכוש תוך רשלנות,1
